Countries or Regions,Currency Code,Price,May Adjust Automatically
New Zealand,NZD,9.99,N
Afghanistan,USD,5.99,Y
Albania,USD,6.99,Y
Algeria,USD,5.99,Y
Angola,USD,5.99,Y
Anguilla,USD,5.99,Y
Antigua and Barbuda,USD,5.99,Y
Argentina,USD,5.99,Y
Armenia,USD,6.99,Y
Australia,AUD,9.99,Y
Austria,EUR,6.99,Y
Azerbaijan,USD,6.99,Y
Bahamas,USD,6.99,Y
Bahrain,USD,6.99,Y
Barbados,USD,6.99,Y
Belarus,USD,6.99,Y
Belgium,EUR,6.99,Y
Belize,USD,5.99,Y
Benin,USD,6.99,Y
Bermuda,USD,5.99,Y
Bhutan,USD,5.99,Y
Bolivia,USD,5.99,Y
Bosnia and Herzegovina,EUR,6.99,Y
Botswana,USD,5.99,Y
Brazil,BRL,39.9,Y
British Virgin Islands,USD,5.99,Y
Brunei,USD,5.99,Y
Bulgaria,BGN,12.99,Y
Burkina Faso,USD,5.99,Y
Cambodia,USD,6.99,Y
Cameroon,USD,6.99,Y
Canada,CAD,7.99,Y
Cape Verde,USD,5.99,Y
Cayman Islands,USD,5.99,Y
Chad,USD,5.99,Y
Chile,CLP,6990,Y
China mainland,CNY,38.0,Y
Colombia,COP,29900.0,Y
"Congo, Democratic Republic of the",USD,5.99,Y
"Congo, Republic of the",USD,5.99,Y
Costa Rica,USD,5.99,Y
Côte d’Ivoire,USD,6.99,Y
Croatia,EUR,6.99,Y
Cyprus,EUR,6.99,Y
Czech Republic,CZK,149.0,Y
Denmark,DKK,49.0,Y
Dominica,USD,5.99,Y
Dominican Republic,USD,5.99,Y
Ecuador,USD,5.99,Y
Egypt,EGP,299.99,Y
El Salvador,USD,5.99,Y
Estonia,EUR,6.99,Y
Eswatini,USD,5.99,Y
Fiji,USD,5.99,Y
Finland,EUR,6.99,Y
France,EUR,6.99,Y
Gabon,USD,5.99,Y
Gambia,USD,5.99,Y
Georgia,USD,6.99,Y
Germany,EUR,6.99,Y
Ghana,USD,6.99,Y
Greece,EUR,6.99,Y
Grenada,USD,5.99,Y
Guatemala,USD,5.99,Y
Guinea-Bissau,USD,5.99,Y
Guyana,USD,5.99,Y
Honduras,USD,5.99,Y
Hong Kong,HKD,48.0,Y
Hungary,HUF,2490,Y
Iceland,USD,6.99,Y
India,INR,599.0,Y
Indonesia,IDR,99000,Y
Iraq,USD,5.99,Y
Ireland,EUR,6.99,Y
Israel,ILS,19.9,Y
Italy,EUR,6.99,Y
Jamaica,USD,5.99,Y
Japan,JPY,1000,Y
Jordan,USD,5.99,Y
Kazakhstan,KZT,3490.0,Y
Kenya,USD,6.99,Y
"Korea, Republic of",KRW,8800,Y
Kosovo,EUR,6.99,Y
Kuwait,USD,5.99,Y
Kyrgyzstan,USD,6.99,Y
Laos,USD,6.99,Y
Latvia,EUR,6.99,Y
Lebanon,USD,5.99,Y
Liberia,USD,5.99,Y
Libya,USD,5.99,Y
Lithuania,EUR,6.99,Y
Luxembourg,EUR,6.99,Y
Macau,USD,5.99,Y
Madagascar,USD,5.99,Y
Malawi,USD,5.99,Y
Malaysia,MYR,29.9,Y
Maldives,USD,5.99,Y
Mali,USD,5.99,Y
Malta,EUR,6.99,Y
Mauritania,USD,5.99,Y
Mauritius,USD,5.99,Y
Mexico,MXN,129.0,Y
Micronesia,USD,5.99,Y
Moldova,USD,6.99,Y
Mongolia,USD,5.99,Y
Montenegro,EUR,5.99,Y
Montserrat,USD,5.99,Y
Morocco,USD,5.99,Y
Mozambique,USD,5.99,Y
Myanmar,USD,5.99,Y
Namibia,USD,5.99,Y
Nauru,USD,5.99,Y
Nepal,USD,6.99,Y
Netherlands,EUR,6.99,Y
Nicaragua,USD,5.99,Y
Niger,USD,5.99,Y
Nigeria,NGN,9900.0,Y
North Macedonia,USD,5.99,Y
Norway,NOK,79.0,Y
Oman,USD,5.99,Y
Pakistan,PKR,1700.0,Y
Palau,USD,5.99,Y
Panama,USD,5.99,Y
Papua New Guinea,USD,5.99,Y
Paraguay,USD,5.99,Y
Peru,PEN,24.9,Y
Philippines,PHP,399.0,Y
Poland,PLN,29.99,Y
Portugal,EUR,6.99,Y
Qatar,QAR,19.99,Y
Romania,RON,29.99,Y
Russia,RUB,499.0,Y
Rwanda,USD,5.99,Y
São Tomé and Príncipe,USD,5.99,Y
Saudi Arabia,SAR,24.99,Y
Senegal,USD,6.99,Y
Serbia,EUR,6.99,Y
Seychelles,USD,5.99,Y
Sierra Leone,USD,5.99,Y
Singapore,SGD,8.98,Y
Slovakia,EUR,6.99,Y
Slovenia,EUR,6.99,Y
Solomon Islands,USD,5.99,Y
South Africa,ZAR,119.99,Y
Spain,EUR,6.99,Y
Sri Lanka,USD,5.99,Y
St. Kitts and Nevis,USD,5.99,Y
St. Lucia,USD,5.99,Y
St. Vincent and the Grenadines,USD,5.99,Y
Suriname,USD,6.99,Y
Sweden,SEK,79.0,Y
Switzerland,CHF,5.0,Y
Taiwan,TWD,190,Y
Tajikistan,USD,6.99,Y
Tanzania,TZS,17900.0,Y
Thailand,THB,199.0,Y
Tonga,USD,5.99,Y
Trinidad and Tobago,USD,5.99,Y
Tunisia,USD,5.99,Y
Türkiye,TRY,299.99,Y
Turkmenistan,USD,5.99,Y
Turks and Caicos Islands,USD,5.99,Y
Uganda,USD,6.99,Y
Ukraine,USD,6.99,Y
United Arab Emirates,AED,22.99,Y
United Kingdom,GBP,5.99,Y
United States,USD,5.99,Y
Uruguay,USD,5.99,Y
Uzbekistan,USD,6.99,Y
Vanuatu,USD,5.99,Y
Venezuela,USD,5.99,Y
Vietnam,VND,199000,Y
Yemen,USD,5.99,Y
Zambia,USD,6.99,Y
Zimbabwe,USD,6.99,Y