Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
New Zealand,NZD,4.99,3.69,N
Afghanistan,USD,2.99,2.54,Y
Albania,USD,3.99,2.83,Y
Algeria,USD,2.99,2.54,Y
Angola,USD,2.99,2.54,Y
Anguilla,USD,2.99,2.54,Y
Antigua and Barbuda,USD,2.99,2.54,Y
Argentina,USD,2.99,2.54,Y
Armenia,USD,3.99,2.83,Y
Australia,AUD,4.99,3.86,Y
Austria,EUR,2.99,2.12,Y
Azerbaijan,USD,3.99,2.87,Y
Bahamas,USD,2.99,2.31,Y
Bahrain,USD,2.99,2.31,Y
Barbados,USD,3.99,2.89,Y
Belarus,USD,3.99,2.83,Y
Belgium,EUR,2.99,2.1,Y
Belize,USD,2.99,2.54,Y
Benin,USD,3.99,2.87,Y
Bermuda,USD,2.99,2.54,Y
Bhutan,USD,2.99,2.54,Y
Bolivia,USD,2.99,2.54,Y
Bosnia and Herzegovina,EUR,2.99,2.17,Y
Botswana,USD,2.99,2.54,Y
Brazil,BRL,19.9,14.78,Y
British Virgin Islands,USD,2.99,2.54,Y
Brunei,USD,2.99,2.54,Y
Bulgaria,BGN,6.99,4.95,Y
Burkina Faso,USD,2.99,2.54,Y
Cambodia,USD,2.99,2.31,Y
Cameroon,USD,3.99,2.84,Y
Canada,CAD,3.99,3.39,Y
Cape Verde,USD,2.99,2.54,Y
Cayman Islands,USD,2.99,2.54,Y
Chad,USD,2.99,2.54,Y
Chile,CLP,2990,2136,Y
China mainland,CNY,22.0,18.53,Y
Colombia,COP,14900.0,10642.86,Y
"Congo, Democratic Republic of the",USD,2.99,2.54,Y
"Congo, Republic of the",USD,2.99,2.54,Y
Costa Rica,USD,2.99,2.54,Y
Côte d’Ivoire,USD,3.99,2.87,Y
Croatia,EUR,2.99,2.03,Y
Cyprus,EUR,2.99,2.14,Y
Czech Republic,CZK,79.0,55.5,Y
Denmark,DKK,29.0,19.72,Y
Dominica,USD,2.99,2.54,Y
Dominican Republic,USD,2.99,2.54,Y
Ecuador,USD,2.99,2.54,Y
Egypt,EGP,149.99,111.83,Y
El Salvador,USD,2.99,2.54,Y
Estonia,EUR,2.99,2.05,Y
Eswatini,USD,2.99,2.54,Y
Fiji,USD,2.99,2.54,Y
Finland,EUR,2.99,2.03,Y
France,EUR,2.99,2.12,Y
Gabon,USD,2.99,2.54,Y
Gambia,USD,2.99,2.54,Y
Georgia,USD,3.99,2.87,Y
Germany,EUR,2.99,2.14,Y
Ghana,USD,3.99,2.78,Y
Greece,EUR,2.99,2.05,Y
Grenada,USD,2.99,2.54,Y
Guatemala,USD,2.99,2.54,Y
Guinea-Bissau,USD,2.99,2.54,Y
Guyana,USD,2.99,2.54,Y
Honduras,USD,2.99,2.54,Y
Hong Kong,HKD,22.0,18.7,Y
Hungary,HUF,1490,997,Y
Iceland,USD,3.99,2.74,Y
India,INR,299.0,215.38,Y
Indonesia,IDR,49000,37523,Y
Iraq,USD,2.99,2.54,Y
Ireland,EUR,2.99,2.07,Y
Israel,ILS,9.9,8.42,Y
Italy,EUR,2.99,2.07,Y
Jamaica,USD,2.99,2.54,Y
Japan,JPY,500,386,Y
Jordan,USD,2.99,2.54,Y
Kazakhstan,KZT,1790.0,1358.48,Y
Kenya,USD,3.99,2.92,Y
"Korea, Republic of",KRW,4400,3400,Y
Kosovo,EUR,2.99,2.15,Y
Kuwait,USD,2.99,2.54,Y
Kyrgyzstan,USD,2.99,2.27,Y
Laos,USD,2.99,2.31,Y
Latvia,EUR,2.99,2.1,Y
Lebanon,USD,2.99,2.54,Y
Liberia,USD,2.99,2.54,Y
Libya,USD,2.99,2.54,Y
Lithuania,EUR,2.99,2.1,Y
Luxembourg,EUR,2.99,2.17,Y
Macau,USD,2.99,2.54,Y
Madagascar,USD,2.99,2.54,Y
Malawi,USD,2.99,2.54,Y
Malaysia,MYR,14.9,11.73,Y
Maldives,USD,2.99,2.54,Y
Mali,USD,2.99,2.54,Y
Malta,EUR,2.99,2.15,Y
Mauritania,USD,2.99,2.54,Y
Mauritius,USD,2.99,2.54,Y
Mexico,MXN,69.0,50.56,Y
Micronesia,USD,2.99,2.54,Y
Moldova,USD,3.99,2.83,Y
Mongolia,USD,2.99,2.54,Y
Montenegro,EUR,2.99,2.54,Y
Montserrat,USD,2.99,2.54,Y
Morocco,USD,2.99,2.54,Y
Mozambique,USD,2.99,2.54,Y
Myanmar,USD,2.99,2.54,Y
Namibia,USD,2.99,2.54,Y
Nauru,USD,2.99,2.54,Y
Nepal,USD,3.99,2.94,Y
Netherlands,EUR,2.99,2.1,Y
Nicaragua,USD,2.99,2.54,Y
Niger,USD,2.99,2.54,Y
Nigeria,NGN,4900.0,3874.42,Y
North Macedonia,USD,2.99,2.54,Y
Norway,NOK,39.0,26.52,Y
Oman,USD,2.99,2.42,Y
Pakistan,PKR,900.0,765.0,Y
Palau,USD,2.99,2.54,Y
Panama,USD,2.99,2.54,Y
Papua New Guinea,USD,2.99,2.54,Y
Paraguay,USD,2.99,2.54,Y
Peru,PEN,12.9,9.29,Y
Philippines,PHP,199.0,151.03,Y
Poland,PLN,14.99,10.36,Y
Portugal,EUR,2.99,2.07,Y
Qatar,QAR,9.99,8.49,Y
Romania,RON,14.99,10.53,Y
Russia,RUB,249.0,176.38,Y
Rwanda,USD,2.99,2.54,Y
São Tomé and Príncipe,USD,2.99,2.54,Y
Saudi Arabia,SAR,12.99,9.6,Y
Senegal,USD,3.99,2.87,Y
Serbia,EUR,2.99,2.12,Y
Seychelles,USD,2.99,2.54,Y
Sierra Leone,USD,2.99,2.54,Y
Singapore,SGD,3.98,3.1,Y
Slovakia,EUR,2.99,2.07,Y
Slovenia,EUR,2.99,2.08,Y
Solomon Islands,USD,2.99,2.54,Y
South Africa,ZAR,59.99,44.34,Y
Spain,EUR,2.99,2.1,Y
Sri Lanka,USD,2.99,2.54,Y
St. Kitts and Nevis,USD,2.99,2.54,Y
St. Lucia,USD,2.99,2.54,Y
St. Vincent and the Grenadines,USD,2.99,2.54,Y
Suriname,USD,2.99,2.31,Y
Sweden,SEK,39.0,26.52,Y
Switzerland,CHF,3.0,2.36,Y
Taiwan,TWD,90,71,Y
Tajikistan,USD,2.99,2.23,Y
Tanzania,TZS,9900.0,6988.73,Y
Thailand,THB,99.0,78.64,Y
Tonga,USD,2.99,2.54,Y
Trinidad and Tobago,USD,2.99,2.54,Y
Tunisia,USD,2.99,2.54,Y
Türkiye,TRY,149.99,98.27,Y
Turkmenistan,USD,2.99,2.54,Y
Turks and Caicos Islands,USD,2.99,2.54,Y
Uganda,USD,3.99,2.73,Y
Ukraine,USD,3.99,2.83,Y
United Arab Emirates,AED,12.99,10.52,Y
United Kingdom,GBP,2.99,2.11,Y
United States,USD,2.99,2.54,Y
Uruguay,USD,2.99,2.5,Y
Uzbekistan,USD,2.99,2.27,Y
Vanuatu,USD,2.99,2.54,Y
Venezuela,USD,2.99,2.54,Y
Vietnam,VND,99000,75735,Y
Yemen,USD,2.99,2.54,Y
Zambia,USD,3.99,2.92,Y
Zimbabwe,USD,3.99,2.8,Y